theta,theta_local,t,cyl_T,cyl_p,cyl_a,pipe_T,pipe_p,pipe_rho,pipe_u,pipe_a,pipe_AA,T_isentropic,a_isentropic,mdot_exhaust,T_error_K,T_error_frac,a_ratio_isentropic_to_pipe
1630.4152111431,190.4152111430999,0.0,1757.024407249829,493626.96331121254,825.081272717389,341.67992367312246,160205.17141729398,1.6337107728919908,67.94782535790858,370.52259490058174,0.999600023884522,1312.41746695164,713.0891582196527,0.0881647246610712,970.7375432785177,0.7396560680750887,1.9245497252630117
1630.9914595459238,190.99145954592382,0.0,1755.0709623778587,490840.06776716077,824.6224859736129,342.5451503152784,161629.56251974523,1.644072925474295,69.47810707816721,370.991430354771,0.999600023884522,1315.9004452072948,714.0347523024117,0.09072211699309819,973.3552948920163,0.7396876400772727,1.924666431296259
1631.5706834328078,191.57068343280775,0.0,1753.0616434535902,487972.8977964069,824.1503101716905,343.45411745367915,163135.68142786107,1.655001292963411,70.98605800886975,371.48332989905253,0.999600023884522,1319.5611299958848,715.0272441081568,0.09330727748974253,976.1070125422057,0.7397209499079818,1.924789584239108
1632.1534325087503,192.15343250875026,0.0,1750.9927846131911,485021.47415076214,823.6638600778724,344.412201565455,164734.0088422071,1.6665672438953034,72.46754210874089,372.00110562873306,0.999600023884522,1323.4195483279732,716.0718567292485,0.09592029237362003,979.0073467625182,0.7397558453775371,1.9249186249567416
1632.7403813576927,192.74038135769274,0.0,1748.860081608563,481981.116536472,823.1620974141349,345.4257209687214,166436.95841368695,1.6788550490704324,73.91811799203411,372.5480568802262,0.999600023884522,1327.4991712972628,717.1747025091756,0.0985617084190661,982.0734503285414,0.7397921381516469,1.9250528603340602
1633.3323578369123,193.33235783691225,0.0,1746.6584234364966,478846.24769369187,822.6437905682329,346.5021215336812,168259.2927640238,1.6919645691394303,75.33299240587485,373.1280643857188,0.999600023884522,1331.8276041141444,718.3429579344572,0.10123264961155895,985.3254825804631,0.7398295992189209,1.9251914463123168
1633.9303758212275,193.93037582122747,0.0,1744.3816845876197,475610.1521584145,822.1074648082654,347.6502050251926,170218.6455780607,1.7060146016970759,76.70695133676217,373.745705499237,0.999600023884522,1336.4374371755825,719.5850783845365,0.10393494411569032,988.78723215039,0.739867953893963,1.9253333691776842
1634.535671272392,194.53567127239194,0.0,1742.0224739514283,472264.68534351967,821.551341994206,348.75546980482113,172120.26778118135,1.7196065418744733,77.69902578508517,374.33934840940395,0.999600023884522,1340.9314002565982,720.7939171701014,0.10611793322294105,992.175930451777,0.7399155022113107,1.9255093546345288
1635.1497389252766,195.14973892527655,0.0,1739.5835716123524,468820.0772799479,820.9760379092718,349.9211009713558,174142.14057180352,1.7340110060111587,78.54565318044399,374.9643961368743,0.999600023884522,1345.6660255468444,722.0653028626461,0.1081728136426985,995.7449245754885,0.739964378732712,1.9256903063379613
1635.774364041121,195.7743640411211,0.0,1737.0583158391803,465270.9573062326,820.3799390964473,351.19518835200256,176371.48271147217,1.749838276117993,79.32808155001545,375.6464117755348,0.999600023884522,1350.810058196336,723.4440939341273,0.11024755947855003,999.6148698443335,0.74001142039101,1.9258645131592975
1636.411639278141,196.4116392781409,0.0,1734.4350817982702,461604.530304164,819.7602530269078,352.5956147238419,178845.32377850366,1.7673346242286359,80.03790354552591,376.39463066845104,0.999600023884522,1356.4289107385162,724.9471577057449,0.11234625784470816,1003.8332960146743,0.740055957276914,1.926029487770026
1637.0639507122883,197.06395071228826,0.0,1731.7000634754359,457805.53495797585,819.1136609735902,354.1435594550735,181608.48442812075,1.7867956618536565,80.6650694879597,377.2199387480049,0.999600023884522,1362.6001683238771,726.5944090185984,0.11447338418175405,1008.4566088688036,0.7400972290421023,1.9261824054957681
1637.7339105459646,197.7339105459646,0.0,1728.8372379040834,453856.1792142099,818.4363065174572,355.8637964309669,184714.82066866694,1.8085729804043287,81.19747525237756,378.1349936278875,0.999600023884522,1369.4147872329145,728.4090604278566,0.11663333233078091,1013.5509908019476,0.740134399198334,1.9263201573580475
1638.4219444327362,198.42194443273615,0.0,1725.8286516326855,449736.4148157512,817.7238599154877,357.7776966135225,188215.26310567957,1.8329882401282265,81.61741903254219,379.1504694699894,0.999600023884522,1376.9528319902636,730.411099829834,0.11881920864894265,1019.1751353767411,0.7401670643311823,1.9264412380943858
1639.1102752650245,199.11027526502448,0.0,1722.6738378956252,445439.26827705215,816.9761186795242,359.8481156312598,192055.04987108757,1.8596216830590893,81.88598127924611,380.2459373361407,0.999600023884522,1385.0944122974292,732.5672870423844,0.12094231539269952,1025.2462966661694,0.7401995759737513,1.9265617725582391
1639.7994668388035,199.79946683880348,0.0,1719.5184698864123,441076.07093872136,816.2275608906443,362.0917381915827,196278.87990648966,1.8887438296029149,82.0119033426834,381.4294959823872,0.999600023884522,1393.92991406794,734.9000919891243,0.12302519695613805,1031.8381758763574,0.7402367690532723,1.9266996908468215
1640.4898229163173,200.48982291631728,0.0,1716.2934598054067,436644.0553459431,815.4617716371533,364.5175982995229,200919.9986976228,1.9205374037881302,81.99294285953302,382.70507051350694,0.999600023884522,1403.4408530507967,737.4029824421184,0.12506718153208185,1038.9232547512738,0.7402686422394393,1.9268179056334007
1641.1821871411287,201.18218714112868,0.0,1712.9971448953108,432142.18988203624,814.6783069345153,367.133498116169,206011.97199815774,1.9551791182382643,81.82875829848358,384.0758252520936,0.999600023884522,1413.657059793932,740.0820412745867,0.12706812736507075,1046.523561677763,0.7402952182973671,1.926916490484199
1641.8772944866307,201.87729448663072,0.0,1709.6218902294534,427565.810439345,813.8752984145679,369.9431465707851,211583.047250414,1.9928012398256651,81.52118949295807,385.5426776533844,0.999600023884522,1424.5924420121653,742.9389891892964,0.12902640902001125,1054.6492954413802,0.7403165034006084,1.9269954592607337
1642.575635648641,202.57563564864108,0.0,1706.1628402188614,422910.8450442572,813.0515312345202,372.9445848782221,217652.41270682818,2.033467723441034,81.07520018718465,387.1035187182747,0.999600023884522,1436.2431958585146,745.9707944922385,0.13093912372471683,1063.2986109802926,0.7403332625326768,1.9270576432944786
1643.277570619435,203.27757061943498,0.0,1702.6167814165046,418174.81758626056,812.206175770552,376.1260443643056,224220.5116573351,2.077112579372898,80.49039362750031,388.7511345650042,0.999600023884522,1448.571564015885,749.1655708039143,0.13278474975743407,1072.4455196515796,0.7403469364526468,1.9271083842422696
1643.9833278696378,203.98332786963783,0.0,1698.9811087964733,413356.9365947008,811.3385425352315,379.4282435587349,231186.36152142077,2.1230032443170117,79.66660039246058,390.4539259143128,0.999600023884522,1461.3730711066148,752.4686016042516,0.13432939368633728,1081.9448275478799,0.7403618206325538,1.9271636207581246
1644.6926679672665,204.69266796726652,0.0,1695.2603327153338,408467.1621773849,810.4496381087206,382.80549571441406,238469.0328136677,2.170560670261664,78.56579971720987,392.18777158148566,0.999600023884522,1474.4871389511088,755.8373118513051,0.135440820734618,1091.6816432366948,0.7403805800661465,1.9272332454513137
1645.4059104810067,205.40591048100669,0.0,1691.467153959037,403524.4728600807,809.5424317485953,386.2113263642356,245977.8139309381,2.219162140672273,77.16103099920508,393.92856069743135,0.999600023884522,1487.7487155606466,759.2287137904972,0.13599757642983692,1101.537389196411,0.7404055387010064,1.9273258898677457
1646.1227516961408,206.12275169614077,0.0,1687.610560060811,398549.4243045299,808.6190150469881,389.4861858430944,253355.66654673545,2.266504922106084,75.1639439668915,395.5951838328613,0.999600023884522,1500.591802156957,762.4987172092247,0.13530390856681573,1111.1056163138628,0.7404449462650368,1.9274721947357676
